from,to,h,prior,n_subnodes,type,name,count
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(append('1' repeat('0')) '0'))),-22.156030,12,SEQ,repeat,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(append('1' repeat('0')) '0'))),-22.156030,12,SEQ,append,5
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(append('1' repeat('0')) '0'))),-22.156030,12,SEQ,delete,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(append('1' repeat('0')) '0'))),-22.156030,12,SEQ,cut,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,INT,4,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,INT,8,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,INT,9,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,INT,30,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,SEQ,1,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,SEQ,0,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,SEQ,from_seq,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,SEQ,invert,0
